INFO 2019-11-16 14:00:55,072 -  * Restarting with stat
DEBUG 2019-11-17 22:23:00,326 - # getting wind speed from weather_tuple_obj
DEBUG 2019-11-17 22:23:00,326 - # getting description of weather from weather_tuple_obj
DEBUG 2019-11-17 22:23:00,328 - Starting new HTTPS connection (1): newsapi.org:443
DEBUG 2019-11-17 22:23:00,707 - https://newsapi.org:443 "GET /v1/articles?source=bbc-news&sortBy=top&apiKey=948bc6a9f980472dba5fa0f0f085aabe HTTP/1.1" 200 3946
DEBUG 2019-11-17 22:23:00,708 - # assigning news() func returns to news_tuple_obj
DEBUG 2019-11-17 22:23:00,709 - # getting news titles from news()
DEBUG 2019-11-17 22:23:00,709 - # getting news content from news()
DEBUG 2019-11-17 22:23:00,709 - # getting news url from news()
INFO 2019-11-17 22:23:00,709 - 127.0.0.1 - - [17/Nov/2019 22:23:00] "GET /news HTTP/1.1" 200 -
INFO 2019-11-17 22:24:15,007 -  * Restarting with stat
WARNING 2019-11-17 22:24:15,495 -  * Debugger is active!
INFO 2019-11-17 22:24:15,495 -  * Debugger PIN: 251-383-114
INFO 2019-11-17 22:24:15,511 -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2019-11-18 18:25:52,119 -  * Restarting with stat
WARNING 2019-11-18 18:25:52,725 -  * Debugger is active!
INFO 2019-11-18 18:25:52,742 -  * Debugger PIN: 251-383-114
INFO 2019-11-18 18:25:52,749 -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2019-11-18 18:26:03,114 - executing home() @APP.route('/')
DEBUG 2019-11-18 18:26:03,114 - # getting current time as string in format hh:mm
DEBUG 2019-11-18 18:26:03,114 - # getting api key for news
DEBUG 2019-11-18 18:26:03,123 - Starting new HTTPS connection (1): newsapi.org:443
DEBUG 2019-11-18 18:26:03,556 - https://newsapi.org:443 "GET /v1/articles?source=bbc-news&sortBy=top&apiKey=948bc6a9f980472dba5fa0f0f085aabe HTTP/1.1" 200 3932
DEBUG 2019-11-18 18:26:03,558 - # getting top news using api key from BBC
DEBUG 2019-11-18 18:26:03,558 - # getting api key for weather
DEBUG 2019-11-18 18:26:03,559 - Starting new HTTP connection (1): api.openweathermap.org:80
DEBUG 2019-11-18 18:26:03,671 - http://api.openweathermap.org:80 "GET /data/2.5/weather?q=Exeter,uk,&units=metric&appid=1237fe91f619b76d582d0f5583ff2a8d HTTP/1.1" 200 444
DEBUG 2019-11-18 18:26:03,672 - # getting current weather description
DEBUG 2019-11-18 18:26:03,672 - # getting the notification list
INFO 2019-11-18 18:26:03,679 - 127.0.0.1 - - [18/Nov/2019 18:26:03] "GET / HTTP/1.1" 200 -
INFO 2019-11-18 18:26:03,998 - 127.0.0.1 - - [18/Nov/2019 18:26:03] "GET /favicon.ico HTTP/1.1" 404 -
INFO 2019-11-18 18:26:06,405 - executing set_alarm_page() @APP.route('/setalarm')
DEBUG 2019-11-18 18:26:06,405 - # getting the alarm information from user
DEBUG 2019-11-18 18:26:06,405 - # getting notifications /setalarm
DEBUG 2019-11-18 18:26:06,405 - # setting alarm using sched module
INFO 2019-11-18 18:26:06,408 - 127.0.0.1 - - [18/Nov/2019 18:26:06] "GET /setalarm HTTP/1.1" 200 -
